time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-20T05:45:00.000000000Z,1.10561,1.10580,1.10553,1.10574,1.10548,1.10567,1.10541,1.10562,True,49
2019-09-20T06:00:00.000000000Z,1.10553,1.10586,1.10550,1.10564,1.10541,1.10573,1.10538,1.10551,True,178
2019-09-20T06:15:00.000000000Z,1.10583,1.10590,1.10550,1.10551,1.10572,1.10578,1.10538,1.10538,True,124
2019-09-20T06:30:00.000000000Z,1.10603,1.10615,1.10547,1.10581,1.10590,1.10604,1.10535,1.10570,True,188
2019-09-20T06:45:00.000000000Z,1.10610,1.10650,1.10582,1.10605,1.10598,1.10639,1.10569,1.10593,True,253
2019-09-20T07:00:00.000000000Z,1.10679,1.10682,1.10588,1.10608,1.10669,1.10671,1.10576,1.10596,True,280
2019-09-20T07:15:00.000000000Z,1.10633,1.10683,1.10628,1.10677,1.10620,1.10670,1.10616,1.10666,True,232
2019-09-20T07:30:00.000000000Z,1.10511,1.10634,1.10505,1.10630,1.10499,1.10623,1.10494,1.10619,True,277
2019-09-20T07:45:00.000000000Z,1.10513,1.10529,1.10466,1.10510,1.10501,1.10517,1.10454,1.10495,True,297
2019-09-20T08:00:00.000000000Z,1.10565,1.10570,1.10504,1.10511,1.10553,1.10557,1.10492,1.10499,True,200
2019-09-20T08:15:00.000000000Z,1.10543,1.10583,1.10533,1.10562,1.10531,1.10571,1.10521,1.10550,True,192
2019-09-20T08:30:00.000000000Z,1.10546,1.10583,1.10535,1.10545,1.10534,1.10571,1.10523,1.10534,True,246
2019-09-20T08:45:00.000000000Z,1.10482,1.10573,1.10482,1.10549,1.10469,1.10561,1.10469,1.10536,True,233
2019-09-20T09:00:00.000000000Z,1.10465,1.10529,1.10456,1.10484,1.10453,1.10517,1.10443,1.10472,True,231
2019-09-20T09:15:00.000000000Z,1.10527,1.10539,1.10458,1.10468,1.10515,1.10528,1.10445,1.10455,True,175
2019-09-20T09:30:00.000000000Z,1.10545,1.10550,1.10501,1.10529,1.10533,1.10536,1.10490,1.10517,True,163
2019-09-20T09:45:00.000000000Z,1.10484,1.10542,1.10474,1.10542,1.10472,1.10531,1.10462,1.10531,True,206
2019-09-20T10:00:00.000000000Z,1.10522,1.10522,1.10467,1.10482,1.10510,1.10510,1.10454,1.10469,True,228
2019-09-20T10:15:00.000000000Z,1.10492,1.10529,1.10462,1.10520,1.10480,1.10514,1.10450,1.10508,True,144
2019-09-20T10:30:00.000000000Z,1.10457,1.10491,1.10421,1.10489,1.10445,1.10480,1.10409,1.10478,True,233
2019-09-20T10:45:00.000000000Z,1.10439,1.10462,1.10410,1.10459,1.10427,1.10449,1.10398,1.10447,True,206
2019-09-20T11:00:00.000000000Z,1.10405,1.10437,1.10395,1.10437,1.10394,1.10425,1.10381,1.10425,True,157
2019-09-20T11:15:00.000000000Z,1.10370,1.10403,1.10330,1.10402,1.10359,1.10391,1.10318,1.10391,True,201
2019-09-20T11:30:00.000000000Z,1.10312,1.10368,1.10296,1.10368,1.10300,1.10356,1.10283,1.10356,True,232
2019-09-20T11:45:00.000000000Z,1.10331,1.10334,1.10257,1.10310,1.10320,1.10322,1.10245,1.10298,True,392
2019-09-20T12:00:00.000000000Z,1.10306,1.10344,1.10302,1.10334,1.10293,1.10332,1.10290,1.10321,True,222
2019-09-20T12:15:00.000000000Z,1.10260,1.10327,1.10258,1.10308,1.10249,1.10315,1.10246,1.10295,True,216
2019-09-20T12:30:00.000000000Z,1.10249,1.10301,1.10223,1.10260,1.10237,1.10289,1.10210,1.10245,True,294
2019-09-20T12:45:00.000000000Z,1.10264,1.10264,1.10199,1.10252,1.10252,1.10252,1.10185,1.10239,True,171
2019-09-20T13:00:00.000000000Z,1.10227,1.10268,1.10222,1.10266,1.10215,1.10257,1.10210,1.10255,True,305
2019-09-20T13:15:00.000000000Z,1.10174,1.10233,1.10137,1.10225,1.10162,1.10221,1.10122,1.10211,True,464
2019-09-20T13:30:00.000000000Z,1.10179,1.10197,1.10164,1.10176,1.10168,1.10186,1.10152,1.10164,True,268
2019-09-20T13:45:00.000000000Z,1.10205,1.10209,1.10175,1.10177,1.10194,1.10197,1.10164,1.10166,True,160
2019-09-20T14:00:00.000000000Z,1.10123,1.10232,1.10118,1.10208,1.10111,1.10220,1.10105,1.10196,True,311
2019-09-20T14:15:00.000000000Z,1.10128,1.10162,1.10089,1.10126,1.10117,1.10150,1.10077,1.10114,True,271
2019-09-20T14:30:00.000000000Z,1.10105,1.10132,1.10070,1.10126,1.10093,1.10120,1.10059,1.10114,True,298
2019-09-20T14:45:00.000000000Z,1.10118,1.10220,1.10055,1.10107,1.10106,1.10207,1.10040,1.10095,True,894
2019-09-20T15:00:00.000000000Z,1.10134,1.10184,1.10045,1.10116,1.10121,1.10169,1.10031,1.10103,True,778
2019-09-20T15:15:00.000000000Z,1.10026,1.10148,1.10014,1.10136,1.10012,1.10135,1.10001,1.10124,True,381
2019-09-20T15:30:00.000000000Z,1.09988,1.10041,1.09971,1.10027,1.09976,1.10029,1.09958,1.10015,True,419
2019-09-20T15:45:00.000000000Z,1.10033,1.10049,1.09991,1.09991,1.10021,1.10036,1.09978,1.09978,True,210
2019-09-20T16:00:00.000000000Z,1.10038,1.10054,1.10021,1.10036,1.10025,1.10042,1.10008,1.10024,True,126
2019-09-20T16:15:00.000000000Z,1.10093,1.10100,1.10030,1.10040,1.10081,1.10086,1.10019,1.10028,True,182
